id,title,person,liked_news,trust_news,fit_preference,recommend_news,many_to_choose,created,session_id
10,EvaluateChoices8,11,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Blue,8,500
11,EvaluateChoices8,13,Neutral,Neutral,Agree,Disagree,Blue,8,5f50928b5d41a420553ff777
12,EvaluateChoices8,14,Strongly_Agree,Agree,Agree,Neutral,Blue,8,57444da52801a200067a75fb
13,EvaluateChoices8,16,Disagree,Neutral,Neutral,Strongly_Disagree,Blue,8,606ca81043fc54382a7808fe
14,EvaluateChoices8,19,Disagree,Neutral,Agree,Neutral,Blue,8,60c7c462f6a31fb56f96c218
15,EvaluateChoices8,21,Strongly_Agree,Disagree,Neutral,Neutral,Blue,8,5ccf9a2828b5a8000116ec77
16,EvaluateChoices8,15,Strongly_Agree,Agree,Agree,Disagree,Blue,8,55f244e632af740012170458
17,EvaluateChoices8,25,Strongly_Agree,Strongly_Agree,Agree,Neutral,Blue,8,62f39dbe725e3c5cb274037b
18,EvaluateChoices8,24,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Blue,8,5e89fdffad009e010e958ee7
19,EvaluateChoices8,22,Agree,Agree,Strongly_Agree,Strongly_Agree,Blue,8,5e13542bc12a3699bbdc8753
20,EvaluateChoices8,18,Agree,Neutral,Agree,Neutral,Blue,8,5eee7448b465303350093b53
21,EvaluateChoices8,33,Strongly_Agree,Agree,Agree,Neutral,Blue,8,5bda12b600c1c4000155cb87
22,EvaluateChoices8,27,Agree,Agree,Agree,Disagree,Green,8,608437f0b139060610c9f0c1
23,EvaluateChoices8,31,Agree,Agree,Agree,Agree,Blue,8,5d6fbd3f9ba41b0018d20082
24,EvaluateChoices8,20,Neutral,Neutral,Neutral,Neutral,Blue,8,5d974512cb19b600164e21a9
25,EvaluateChoices8,34,Strongly_Agree,Disagree,Agree,Agree,Blue,8,5e25c1a57d6cd1000cf870b8
