id,title,person,liked_news,trust_news,fit_preference,recommend_news,many_to_choose,created,session_id
26,EvaluateChoices,29,Strongly_Agree,Strongly_Agree,Agree,Agree,Orange,11,500
27,EvaluateChoices,30,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Orange,1,500
28,EvaluateChoices,31,Strongly_Agree,Agree,Neutral,Agree,Orange,11,610094b41fe99128974a1cce
29,EvaluateChoices,32,Agree,Agree,Agree,Agree,Orange,11,6336fecb0b27c43626068e01
30,EvaluateChoices,34,Disagree,Strongly_Disagree,Neutral,Strongly_Disagree,Orange,1,60ae54561666056b2558ba4d
31,EvaluateChoices,33,Agree,Neutral,Neutral,Disagree,Orange,1,60fdd6065200f6120a01fba5
32,EvaluateChoices,35,Strongly_Agree,Neutral,Agree,Disagree,Orange,11,611422d77a092e25de5b1bca
33,EvaluateChoices,36,Strongly_Agree,Agree,Neutral,Disagree,Orange,11,5d8e258e7a33770016980d2b
34,EvaluateChoices,37,Strongly_Agree,Disagree,Neutral,Strongly_Disagree,Orange,1,5c40134b1580e900012320ab
35,EvaluateChoices,39,Strongly_Agree,Strongly_Agree,Agree,Agree,Orange,11,5c7af0dc9782c300011cd107
36,EvaluateChoices,38,Agree,Neutral,Neutral,Neutral,Orange,11,627e71af3701230cdc757652
37,EvaluateChoices,42,Agree,Agree,Agree,Agree,Orange,11,61534251f98a9e4929d81c2b
38,EvaluateChoices,40,Agree,Agree,Neutral,Agree,Orange,11,5f79809ea692be01b666c74a
39,EvaluateChoices,44,Agree,Agree,Agree,Neutral,Orange,11,5c2940e510677f0001dc10e9
40,EvaluateChoices,43,Strongly_Agree,Agree,Agree,Disagree,Orange,1,6116ef130896a8270e1c5619
41,EvaluateChoices,46,Strongly_Agree,Agree,Neutral,Agree,Orange,11,62732854d22b38dbdae3ef9c
42,EvaluateChoices,47,Agree,Neutral,Neutral,Strongly_Disagree,Orange,1,5c126ef8e2728500013f98fe
43,EvaluateChoices,49,Agree,Neutral,Strongly_Disagree,Disagree,Orange,11,61075cd65402ea40233182f1
44,EvaluateChoices,48,Agree,Agree,Agree,Neutral,Orange,11,5ec6747917fbef0476a0841a
