id,title,person,liked_news,trust_news,fit_preference,recommend_news,created,session_id
25,EvaluateChoices4,29,Disagree,Strongly_Disagree,Disagree,Neutral,14,500
26,EvaluateChoices4,30,Strongly_Agree,Strongly_Agree,Neutral,Disagree,4,500
27,EvaluateChoices4,31,Strongly_Agree,Strongly_Disagree,Disagree,Disagree,14,610094b41fe99128974a1cce
28,EvaluateChoices4,34,Disagree,Neutral,Neutral,Strongly_Disagree,4,60ae54561666056b2558ba4d
29,EvaluateChoices4,32,Agree,Disagree,Neutral,Disagree,14,6336fecb0b27c43626068e01
30,EvaluateChoices4,33,Agree,Agree,Agree,Neutral,4,60fdd6065200f6120a01fba5
31,EvaluateChoices4,39,Strongly_Agree,Neutral,Agree,Neutral,14,5c7af0dc9782c300011cd107
32,EvaluateChoices4,35,Agree,Neutral,Neutral,Disagree,14,611422d77a092e25de5b1bca
33,EvaluateChoices4,42,Neutral,Agree,Neutral,Neutral,14,61534251f98a9e4929d81c2b
34,EvaluateChoices4,37,Strongly_Agree,Neutral,Neutral,Strongly_Disagree,4,5c40134b1580e900012320ab
35,EvaluateChoices4,38,Agree,Neutral,Neutral,Disagree,14,627e71af3701230cdc757652
36,EvaluateChoices4,46,Strongly_Agree,Agree,Neutral,Neutral,14,62732854d22b38dbdae3ef9c
37,EvaluateChoices4,44,Agree,Neutral,Neutral,Neutral,14,5c2940e510677f0001dc10e9
38,EvaluateChoices4,43,Strongly_Agree,Agree,Agree,Disagree,4,6116ef130896a8270e1c5619
39,EvaluateChoices4,40,Agree,Agree,Neutral,Agree,14,5f79809ea692be01b666c74a
40,EvaluateChoices4,49,Neutral,Neutral,Neutral,Neutral,14,61075cd65402ea40233182f1
41,EvaluateChoices4,48,Agree,Neutral,Neutral,Disagree,14,5ec6747917fbef0476a0841a
